Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
08/29/1981,"Zeya, Russia",53.7359301,127.2585214,Aeroflot,Chita - Zeya,Yakovlev YAK-40,34,3,0
09-02-1981,"Paipa, Colombia",5.77977,-73.114725,Taxi Aereo el Venado,,Embraer 110P1 Bandeirante,22,21,0
09/18/1981,"Zeleznogorsk, Russian",56.2602634,93.5356304,Aeroflot /Military - Russian,,Yakovlev YAK-40 / Mil Mi-8,33,33,0
09/21/1981,"Nellis AFB, Nevada",36.2406295,-115.0542759,Military - U.S. Air Force,"Fort Lewis, WA - Indian springs, NV",Lockheed C-130H Hercules,68,7,0
09/22/1981,"Near Babaeski, Turkey",41.4313239,27.091798,Military - Turkish Air Force,,Northrop F-5A,0,0,40
09/29/1981,"Tehran, Iran",35.7218583,51.3346954,Military - Iranian Air Force,Ahwaz - Tehran,Lockheed C-130H,60,60,20
10-01-1981,"Casper, Wyoming",42.848709,-106.2980824,Sky Train Air,"Casper, WY - McAllen, TX",Learjet 24,3,3,0
10-06-1981,"Moerdijk, Netherlands",51.7018167,4.6273499,NLM (Nederlandse Luchtvaart Maatschappij),Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,17,17,0
10/15/1981,"Kufstein, Austria",47.58237,12.16275,Oefag Flugdienst,,Cessna 404 Titan,9,9,0
10/26/1981,"St. Thomas, U.S. Virgin Islands",18.3380965,-64.8940946,Aerolineas Argo,Saint Croix - Saint Thomas,Lockheed L-749A Constellation,5,5,0
10/31/1981,"Bafoussam, Cameroon",5.4815596,10.4271347,Cameroon Airlines,,de Havilland Canada DHC-6 Twin Otter 300,24,1,0
11-08-1981,"Sierra de Guerro, Mexico",23.634501,-102.552784,Aeromexico,Acapulco - Guadalajara,McDonnell Douglas DC-9-32,18,18,0
11/15/1981,"Mount Pocono, Pennsylvania",41.1220337,-75.3646282,Moyer Aviation - Air Taxi,"Millinocket, ME - Mount Pocono, PA",Piper PA-32,4,4,0
11/16/1981,"Norilsk, Russia",69.35579,88.1892938,Aeroflot,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,167,99,0
11/19/1981,"Biratnagar, Nepal",26.4524746,87.271781,Royal Nepal Airlines,,Pilatus PC-6/B2-H2 Turbo-Porter,10,10,0
11/30/1981,"Castries, Saint Lucia Island",14.0110158,-60.9897239,Guyana Airways,,Douglas DC-6A,3,3,0
12-01-1981,"Mt. San Pietro, near Ajaccio, Corsica, France",42.396274,9.326818,Inex Adria Aviopromet (Yugoslavia),Ljubljana - Ajaccio,McDonnell Douglas MD-81,180,180,0
12-05-1981,"Honolulu, Hawaii",21.3098845,-157.8581401,Private - Parajump air show,"Haliive, HI  - Honolulu, HI",Beech C-45H,12,11,0
12-10-1981,"Tyonek, Alaska",61.0687259,-151.1442174,Spernak Airways - Air Taxi,"Tyonek, AK - Anchorage, AK",Cessna 207A,4,4,0
12/15/1981,"Mt. McKinley, AK",63.0691689,-151.0069842,Hudson Air Service - Air Taxi,"Talkeetna, AK - Return",Cessna 185,4,2,0
12/16/1981,"Kuala Belait, Brunei",4.5831986,114.2212174,Bristow Helicopters,,Aerospatiale Puma,,12,0
12/18/1981,"Near Covenas, Colombia",9.403439,-75.6800867,ACES Colombia,,de Havilland Canada DHC-6 Twin Otter 300,13,13,0
06-05-1983,"Cape Town, South Africa",-33.9248685,18.4240553,Linair Express,Cape Town - Johannesburg,Cessna 402B,9,7,0
12/31/1981,"Durango, Colorado",37.27528,-107.8800667,Sun West Airline - Air Taxi,"Albuquerque, NM - Durango, CO",Piper PA-31,6,4,0
01-07-1982,"Near Gelendzhik, USSR",44.5620352,38.0904574,Aeroflot,,LET  410M Turbojet,18,18,0
01-07-1982,"Helena, Montana",46.5891452,-112.0391057,Air Taxi,,Cessna 210,2,2,0
01/13/1982,"Washington, D.C.",38.9071923,-77.0368707,Air Florida,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,79,74,4
01/14/1982,"Near Addis Ababa, Ethiopia",8.9806034,38.7577605,Military - Ethiopian Air Force,,Antonov AN-26,73,73,0
01/23/1982,"Logan Airport,  Boston, Massachusett",42.3637625,-71.0091407,World Airways,"Newark, NJ - Boston, MA",McDonnell Douglas DC-10-30CF,212,2,0
01/25/1982,"Constanta, Romania",44.1759147,28.6519359,Tarom,Training,Antonov An-24RV,7,7,0
02-03-1982,"Djibouti, Djbouti",11.825138,42.590275,Military - French Air Force,,Nord 2501 Noratlas,35,35,0
02-06-1982,"Island of Cheju, South Korea",33.4996213,126.5311884,Military - Republiof South Korea Air Force,,Fairchild C-123,53,53,0
02-07-1982,"Near Srinagar, India",34.0836708,74.7972825,Military - Indian Air Force,Parhankot - Leh,Fairchild C-119G,23,23,0
02-09-1982,"Tokyo, Japan",35.6761919,139.6503106,Japan Air Lines,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,174,24,0
02-09-1982,"Mt. Ipao, Philippines",12.879721,121.774017,Trans Air Services,Manila - Sicogon,Douglas DC-3 (C-47A-70-DL),32,3,0
02/19/1982,"Cerro el Tablazo, Colombia",10.6947222,-72.8788889,LAC Columbia,,Douglas DC-6BF,4,4,0
02/21/1982,"Providence, Rhode Island",41.8239891,-71.4128343,Pilgrim Airlines,New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,12,1,0
03-11-1982,"Mehamn, Norway",71.0357069,27.848941,Wideroe's Flyveselksap,Berlevag - Mehamn,de Havilland Canada DHC-6 Twin Otter 300,15,15,0
06/24/1982,"Mount Galunggung, Indonesia",-7.2666667,108.0716667,British Airways,Kuala Lampur - Perth,Boeing B-747,257,0,0
